﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024110803,   1016.1,   1018.3,     22.9,     20.3,       85,      4.5,     30.0,      9.4,     40.0,     -9.8,      0.3,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110804,   1016.0,   1018.2,     22.7,     19.7,       83,      2.8,    360.0,      9.2,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110805,   1016.0,   1018.3,     21.9,     20.2,       90,      2.0,    300.0,      4.8,    360.0,      1.5,      1.0,     None,      0.0,     None,      0.0,     None,     21.9,     22.0,     22.4,     22.9,     23.9,     25.0,     26.3
466990, 2024110806,   1016.5,   1018.8,     21.7,     20.2,       91,      0.9,    280.0,      3.0,    290.0,     -9.8,      0.1,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110807,   1016.8,   1019.1,     21.8,     20.3,       91,      2.2,    290.0,      3.8,    300.0,     -9.8,      0.3,      0.0,     0.04,     None,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110808,   1017.2,   1019.5,     22.0,     20.5,       91,      2.1,    220.0,      4.2,    250.0,     -9.8,      0.3,      0.0,     0.26,     15.0,     0.38,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110809,   1017.4,   1019.6,     22.5,     21.0,       91,      2.9,    240.0,      4.8,    230.0,      0.0,      0.0,      0.0,     0.63,     25.0,      1.4,     10.0,     22.5,     22.2,     22.4,     22.7,     23.8,     24.9,     26.3
466990, 2024110810,   1016.8,   1019.0,     23.8,     20.6,       82,      0.6,    300.0,      4.8,    250.0,      0.0,      0.0,      0.0,      0.9,     None,     2.66,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110811,   1016.4,   1018.6,     23.0,     20.4,       85,      0.9,    350.0,      1.9,    350.0,      1.0,      0.5,      0.0,     0.47,      6.0,     1.85,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110812,   1015.7,   1017.9,     22.3,     20.6,       90,      1.8,    340.0,      3.3,    330.0,      2.0,      1.0,      0.0,     0.53,     None,     2.09,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110813,   1014.7,   1016.9,     22.3,     20.8,       91,      2.2,    300.0,      4.3,    330.0,      0.5,      0.3,      0.0,     0.46,     None,     1.79,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110814,   1013.8,   1016.0,     23.0,     21.5,       91,      2.0,    290.0,      4.0,    310.0,      0.0,      0.0,      0.0,     0.73,     15.0,     2.37,     10.0,     23.4,     23.2,     23.3,     23.2,     23.9,     24.9,     26.2
466990, 2024110815,   1013.5,   1015.7,     23.6,     21.7,       89,      1.0,    330.0,      3.0,    320.0,      0.0,      0.0,      0.0,     0.48,     None,     1.25,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110816,   1013.5,   1015.7,     23.9,     21.6,       87,      1.1,     20.0,      3.7,    330.0,      0.0,      0.0,      0.0,     0.34,     None,     0.58,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110817,   1013.9,   1016.1,     24.0,     21.7,       87,      1.4,    320.0,      2.2,    330.0,      0.0,      0.0,      0.0,     0.12,     20.0,      0.1,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110818,   1014.1,   1016.3,     23.5,     21.6,       89,      2.0,    260.0,      3.5,    260.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110819,   1014.3,   1016.5,     23.4,     21.5,       89,      3.1,    260.0,      4.4,    250.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110820,   1014.6,   1016.8,     23.4,     21.5,       89,      1.3,    280.0,      4.4,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110821,   1014.6,   1016.8,     23.4,     21.5,       89,      2.4,    250.0,      4.3,    260.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.0,     23.0,     23.3,     23.5,     24.2,     25.0,     26.2
466990, 2024110822,   1014.8,   1017.0,     23.2,     21.5,       90,      2.2,    240.0,      3.8,    260.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110823,   1014.9,   1017.1,     23.1,     21.4,       90,      2.1,    250.0,      4.5,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110824,   1013.8,   1016.0,     22.9,     21.2,       90,      2.9,    250.0,      5.0,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110901,   1013.0,   1015.2,     22.7,     21.0,       90,      2.9,    240.0,      4.9,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110902,   1012.7,   1014.9,     22.5,     21.0,       91,      3.3,    230.0,      5.5,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110903,   1012.5,   1014.7,     22.4,     20.9,       91,      3.3,    240.0,      4.9,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110904,   1012.5,   1014.7,     22.7,     21.0,       90,      2.1,    280.0,      4.1,    270.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110905,   1012.8,   1015.0,     22.2,     20.7,       91,      0.8,    280.0,      2.9,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     22.0,     22.2,     22.6,     23.0,     24.0,     25.0,     26.1
466990, 2024110906,   1013.5,   1015.7,     21.9,     20.5,       92,      2.1,    260.0,      2.9,    260.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110907,   1014.2,   1016.4,     22.5,     21.1,       92,      1.7,    260.0,      3.6,    260.0,      0.0,      0.0,      0.3,     0.22,     None,      0.1,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110908,   1014.8,   1017.0,     24.6,     22.7,       89,      2.0,    230.0,      4.3,    230.0,      0.0,      0.0,      0.8,      0.8,     25.0,     0.86,      6.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110909,   1014.7,   1016.9,     26.1,     22.4,       80,      1.2,    230.0,      3.7,    240.0,      0.0,      0.0,      1.0,     1.43,     25.0,     2.64,      6.0,     23.0,     22.5,     22.6,     22.8,     23.8,     24.9,     26.1
466990, 2024110910,   1014.4,   1016.6,     27.3,     22.1,       73,      1.7,    120.0,      2.6,    120.0,      0.0,      0.0,      1.0,     2.12,     None,     5.11,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110911,   1014.0,   1016.2,     28.3,     22.6,       71,      2.6,    100.0,      4.0,    110.0,      0.0,      0.0,      1.0,     2.72,     25.0,     7.47,      7.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110912,   1013.3,   1015.5,     27.9,     23.5,       77,      2.8,    100.0,      3.7,    110.0,      0.0,      0.0,      1.0,     2.78,     None,     8.37,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110913,   1012.5,   1014.7,     28.0,     23.6,       77,      3.3,     80.0,      5.0,     70.0,      0.0,      0.0,      1.0,     2.75,     None,     7.85,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110914,   1012.2,   1014.4,     27.9,     23.7,       78,      4.1,     80.0,      6.0,     60.0,      0.0,      0.0,      1.0,     2.34,     25.0,     5.74,      7.0,     28.1,     27.4,     26.6,     24.5,     24.3,     25.0,     26.1
466990, 2024110915,   1012.5,   1014.7,     27.4,     22.8,       76,      5.2,     20.0,      8.3,     20.0,      0.0,      0.0,      0.7,     1.39,     None,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110916,   1013.0,   1015.2,     26.7,     23.6,       83,      5.1,     30.0,      8.8,     30.0,      0.0,      0.0,      0.0,     0.49,     None,     1.04,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110917,   1013.3,   1015.5,     26.3,     23.6,       85,      4.9,     30.0,      9.6,     30.0,      0.0,      0.0,      0.1,     0.15,     20.0,     0.19,      7.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110918,   1013.7,   1015.9,     25.6,     24.0,       91,      4.0,     30.0,      8.8,     30.0,     -9.8,      0.6,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110919,   1014.4,   1016.6,     25.4,     23.8,       91,      4.1,     30.0,      7.5,     20.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110920,   1014.6,   1016.8,     25.2,     23.6,       91,      2.3,     20.0,      7.3,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110921,   1014.7,   1016.9,     25.0,     23.6,       92,      3.2,     30.0,      6.5,     50.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     25.2,     25.4,     25.7,     25.9,     25.9,     25.5,     26.1
466990, 2024110922,   1014.8,   1017.0,     24.8,     23.6,       93,      2.8,     20.0,      6.3,     30.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110923,   1014.4,   1016.6,     24.6,     23.4,       93,      2.6,     20.0,      5.3,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110924,   1013.7,   1015.9,     24.6,     23.4,       93,      2.2,     10.0,      4.8,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111001,   1013.1,   1015.3,     24.6,     23.4,       93,      1.0,    360.0,      3.8,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111002,   1012.3,   1014.5,     24.6,     23.4,       93,      2.0,    350.0,      3.6,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111003,   1011.9,   1014.1,     24.6,     23.4,       93,      2.0,    330.0,      3.7,    330.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111004,   1012.0,   1014.2,     24.7,     23.5,       93,      1.0,    350.0,      2.7,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111005,   1012.7,   1014.9,     24.7,     23.5,       93,      2.1,    350.0,      4.2,    360.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     24.3,     24.3,     24.6,     24.9,     25.5,     25.8,     26.1
466990, 2024111006,   1013.5,   1015.7,     24.6,     23.4,       93,      2.4,     20.0,      5.2,     40.0,     -9.8,      0.2,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111007,   1014.2,   1016.4,     24.7,     23.5,       93,      3.5,     40.0,      6.6,     40.0,     -9.8,      0.1,      0.0,     0.09,     None,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111008,   1014.7,   1016.9,     25.0,     23.4,       91,      3.2,     40.0,      8.0,     30.0,      0.0,      0.0,      0.0,     0.27,     15.0,     0.35,      9.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111009,   1015.2,   1017.4,     25.3,     23.4,       89,      4.1,     30.0,      7.5,     30.0,      0.0,      0.0,      0.0,     0.38,     15.0,     0.76,     10.0,     24.5,     24.3,     24.5,     24.6,     25.3,     25.8,     26.1
466990, 2024111010,   1014.9,   1017.1,     26.3,     23.2,       83,      5.1,     40.0,      7.8,     40.0,      0.0,      0.0,      0.1,     1.18,     None,     3.19,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111011,   1014.3,   1016.5,     26.6,     22.7,       79,      5.2,     40.0,     10.0,     40.0,      0.0,      0.0,      0.5,     2.34,     20.0,     6.41,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111012,   1013.5,   1015.7,     27.4,     22.6,       75,      4.2,     50.0,      8.9,     30.0,      0.0,      0.0,      0.4,     2.18,     None,     6.93,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111013,   1012.6,   1014.8,     26.6,     22.0,       76,      4.8,     30.0,     10.4,     50.0,      0.0,      0.0,      0.0,     1.63,     None,     5.21,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111014,   1012.4,   1014.6,     26.3,     22.2,       78,      5.3,     30.0,      9.0,     30.0,      0.0,      0.0,      0.0,     1.24,     20.0,     3.69,     10.0,     27.3,     26.9,     26.7,     25.5,     25.5,     25.8,     26.1
466990, 2024111015,   1012.6,   1014.8,     25.8,     22.1,       80,      5.2,     30.0,      9.1,     40.0,      0.0,      0.0,      0.0,     0.74,     None,     2.06,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111016,   1012.5,   1014.7,     25.7,     22.4,       82,      4.6,     30.0,      8.7,     20.0,      0.0,      0.0,      0.0,     0.43,     None,     0.92,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111017,   1013.0,   1015.2,     25.3,     22.2,       83,      3.8,     30.0,      8.7,     30.0,      0.0,      0.0,      0.0,     0.18,     20.0,     0.18,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111018,   1013.5,   1015.7,     24.9,     21.8,       83,      4.5,     40.0,      9.2,     30.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111019,   1014.2,   1016.4,     24.8,     21.9,       84,      3.3,     30.0,      8.4,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111020,   1015.0,   1017.2,     24.7,     21.8,       84,      3.2,     30.0,      7.3,     40.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111021,   1014.8,   1017.0,     24.5,     21.8,       85,      2.6,    360.0,      6.2,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     24.6,     24.9,     25.4,     25.8,     26.1,     26.1,     26.2
466990, 2024111022,   1015.0,   1017.2,     24.5,     21.8,       85,      1.8,     20.0,      5.0,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111023,   1015.0,   1017.2,     24.7,     21.8,       84,      2.9,    360.0,      5.4,    360.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111024,   1014.5,   1016.7,     24.4,     21.9,       86,      1.2,    280.0,      4.4,    210.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111101,   1014.1,   1016.3,     24.1,     21.8,       87,      2.0,     10.0,      4.0,     20.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111102,   1013.4,   1015.6,     23.8,     21.9,       89,      2.0,    340.0,      3.5,    360.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111103,   1012.9,   1015.1,     23.6,     21.9,       90,      2.3,    350.0,      4.3,    360.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111104,   1012.5,   1014.7,     23.8,     21.7,       88,      1.0,    340.0,      4.1,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111105,   1012.4,   1014.6,     24.2,     21.9,       87,      3.3,     30.0,      7.2,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.7,     23.9,     24.3,     24.8,     25.6,     26.2,     26.2
466990, 2024111106,   1013.1,   1015.3,     24.2,     21.7,       86,      2.4,    320.0,      7.8,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111107,   1014.0,   1016.2,     24.2,     21.9,       87,      0.5,    280.0,      2.5,    300.0,      0.0,      0.0,      0.0,     0.09,     None,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111108,   1014.6,   1016.8,     25.0,     22.1,       84,      1.8,    240.0,      3.9,    360.0,      0.0,      0.0,      0.0,     0.37,     15.0,     0.53,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111109,   1014.7,   1016.9,     26.0,     21.9,       78,      2.5,     20.0,      5.7,     40.0,      0.0,      0.0,      0.2,     0.81,     20.0,     1.84,      6.0,     24.4,     24.1,     24.3,     24.5,     25.4,     26.1,     26.3
466990, 2024111110,   1014.7,   1016.9,     27.3,     21.4,       70,      4.6,     40.0,      8.0,     40.0,      0.0,      0.0,      0.6,     1.58,     None,     4.32,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111111,   1014.0,   1016.2,     27.3,     20.9,       68,      5.3,     40.0,     10.9,     40.0,      0.0,      0.0,      0.3,     1.88,     20.0,     5.57,      8.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111112,   1013.1,   1015.3,     27.1,     21.2,       70,      5.4,     40.0,     10.8,     50.0,      0.0,      0.0,      0.0,     1.57,     None,     5.29,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111113,   1012.4,   1014.6,     27.0,     21.1,       70,      6.4,     40.0,     11.6,     40.0,      0.0,      0.0,      0.4,     1.81,     None,     5.98,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111114,   1011.7,   1013.9,     26.7,     21.0,       71,      6.4,     40.0,     10.9,     60.0,      0.0,      0.0,      0.4,     1.49,     20.0,     4.66,      6.0,     26.8,     26.6,     26.4,     25.4,     25.5,     26.1,     26.3
466990, 2024111115,   1011.7,   1013.9,     26.8,     20.7,       69,      6.2,     30.0,     11.0,     50.0,      0.0,      0.0,      0.8,     1.62,     None,     3.23,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111116,   1012.0,   1014.2,     26.5,     21.3,       73,      4.2,     40.0,      9.2,     30.0,      0.0,      0.0,      0.1,     0.57,     None,     1.06,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111117,   1012.3,   1014.5,     25.9,     21.4,       76,      4.6,     20.0,      9.8,     70.0,      0.0,      0.0,      0.0,      0.2,     20.0,     0.18,      6.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111118,   1012.8,   1015.0,     25.6,     21.7,       79,      3.7,     30.0,      8.1,     20.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111119,   1013.0,   1015.2,     25.5,     22.0,       81,      2.1,     20.0,      6.3,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111120,   1014.1,   1016.3,     25.5,     22.6,       84,      2.2,     40.0,      4.8,     80.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111121,   1012.8,   1015.0,     24.1,     22.2,       89,      2.2,    200.0,      4.9,    300.0,      0.5,      0.4,     None,      0.0,     None,      0.0,     None,     24.8,     25.1,     25.6,     25.9,     26.3,     26.3,     26.3
466990, 2024111122,   1012.9,   1015.1,     24.2,     22.3,       89,      1.4,    100.0,      3.6,    170.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111123,   1012.8,   1015.0,     24.1,     22.4,       90,      1.9,    330.0,      4.0,    340.0,      0.5,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111124,   1012.9,   1015.1,     24.1,     22.2,       89,      1.2,    250.0,      2.9,    320.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111201,   1012.3,   1014.5,     23.8,     22.1,       90,      2.0,    270.0,      3.2,    250.0,     -9.8,      0.5,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111202,   1011.8,   1014.0,     23.2,     21.8,       92,      1.9,    240.0,      2.9,    280.0,     -9.8,      0.9,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111203,   1011.8,   1014.0,     23.1,     21.7,       92,      1.5,    260.0,      2.7,    270.0,      1.0,      1.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111204,   1011.3,   1013.5,     22.8,     21.6,       93,      2.4,    270.0,      3.4,    270.0,      0.5,      0.9,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111205,   1011.6,   1013.8,     22.7,     21.5,       93,      1.9,    280.0,      4.0,    230.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     23.6,     23.8,     24.2,     24.8,     25.7,     26.3,     26.4
466990, 2024111206,   1012.1,   1014.3,     22.9,     21.7,       93,      2.1,    240.0,      3.6,    260.0,     -9.8,      0.1,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111207,   1013.0,   1015.2,     23.1,     21.9,       93,      1.9,    250.0,      3.9,    250.0,      0.0,      0.0,      0.0,     0.04,     None,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111208,   1013.2,   1015.4,     23.8,     22.6,       93,      1.9,    260.0,      3.1,    240.0,     -9.8,      0.4,      0.0,     0.26,     20.0,     0.47,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111209,   1013.8,   1016.0,     25.0,     23.3,       90,      0.7,    280.0,      3.3,    290.0,     -9.8,      0.2,      0.0,     0.64,     20.0,     1.66,     10.0,     24.1,     23.9,     24.1,     24.4,     25.4,     26.2,     26.4
466990, 2024111210,   1013.7,   1015.9,     26.3,     23.6,       85,      1.0,    190.0,      2.0,    160.0,     -9.8,      0.2,      0.0,     0.96,     None,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111211,   1013.1,   1015.3,     26.7,     23.4,       82,      2.8,     30.0,      4.7,     50.0,      0.0,      0.0,      0.0,     0.81,     18.0,     3.08,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111212,   1011.8,   1014.0,     24.8,     22.9,       89,      4.1,     20.0,      8.6,     50.0,     -9.8,      0.9,      0.0,     0.66,     None,     2.79,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111213,   1011.5,   1013.7,     25.2,     23.3,       89,      2.7,    360.0,      6.1,     30.0,      0.5,      1.0,      0.0,     0.75,     None,      3.1,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111214,   1010.6,   1012.8,     25.7,     23.8,       89,      2.9,    350.0,      5.6,    360.0,     -9.8,      1.0,      0.0,      0.7,      8.0,     2.47,     10.0,     25.4,     25.2,     25.3,     24.9,     25.4,     26.1,     26.4
466990, 2024111215,   1010.8,   1013.0,     25.4,     23.3,       88,      1.4,    300.0,      4.3,    350.0,      1.0,      1.0,      0.0,     0.37,     None,      1.1,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111216,   1011.2,   1013.4,     24.0,     22.4,       91,      4.2,    360.0,      8.6,    340.0,     -9.8,      1.0,      0.0,     0.11,     None,     0.24,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111217,   1011.7,   1013.9,     24.2,     22.6,       91,      2.7,    360.0,      7.0,    350.0,      0.5,      1.0,      0.0,     0.04,      8.0,     0.05,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111218,   1012.0,   1014.2,     23.7,     22.3,       92,      2.7,    290.0,      5.8,    360.0,      4.0,      1.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111219,   1012.8,   1015.0,     24.0,     22.8,       93,      1.8,     20.0,      4.7,    280.0,     -9.8,      0.3,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111220,   1013.0,   1015.2,     24.0,     22.8,       93,      1.4,    300.0,      3.7,    310.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111221,   1013.0,   1015.2,     23.8,     22.6,       93,      3.8,     10.0,      7.4,    360.0,     -9.8,      0.6,     None,      0.0,     None,      0.0,     None,     24.0,     24.1,     24.4,     24.8,     25.5,     26.2,     26.4
