﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024110314,   1013.0,     25.0,       78,      0.7,     19.0,      4.1,     24.0,      0.0
C0Z100, 2024110315,   1013.2,     25.1,       81,      0.0,      0.0,      3.7,     71.0,      0.0
C0Z100, 2024110316,   1013.4,     25.0,       83,      0.0,      0.0,      2.2,      5.0,      0.0
C0Z100, 2024110317,   1013.5,     24.1,       89,      0.0,      0.0,      0.9,    354.0,      0.0
C0Z100, 2024110318,   1013.8,     23.2,       95,      0.0,      0.0,      0.9,    354.0,      0.0
C0Z100, 2024110319,   1014.3,     22.8,       97,      0.0,      0.0,      0.4,    354.0,      0.0
C0Z100, 2024110320,   1014.8,     22.4,       98,      0.0,      0.0,      0.4,    354.0,      0.0
C0Z100, 2024110321,   1015.1,     22.0,       99,      0.2,      0.0,      0.6,    354.0,      0.0
C0Z100, 2024110322,   1015.3,     22.2,       99,      0.0,      0.0,      1.2,    352.0,      0.0
C0Z100, 2024110323,   1015.2,     22.3,       98,      0.0,      0.0,      1.4,    296.0,      0.0
C0Z100, 2024110324,   1015.2,     22.3,       98,      0.4,    263.0,      1.6,    264.0,      0.0
C0Z100, 2024110401,   1014.8,     21.7,       98,      0.0,      0.0,      1.6,    263.0,      0.0
C0Z100, 2024110402,   1014.2,     21.0,      100,      0.4,    263.0,      1.0,    263.0,      0.0
C0Z100, 2024110403,   1014.1,     20.8,      100,      0.0,      0.0,      0.7,    263.0,      0.0
C0Z100, 2024110404,   1013.8,     21.2,      100,      0.2,      0.0,      1.5,    263.0,      0.0
C0Z100, 2024110405,   1013.4,     20.8,      100,      0.1,      0.0,      1.0,    263.0,      0.0
C0Z100, 2024110406,   1013.7,     20.3,      100,      0.0,      0.0,      1.2,    263.0,      0.0
C0Z100, 2024110407,   1014.4,     20.8,      100,      0.3,    263.0,      1.4,    263.0,      0.0
C0Z100, 2024110408,   1014.9,     24.0,       88,      0.3,    259.0,      2.0,    263.0,      0.0
C0Z100, 2024110409,   1015.2,     27.6,       73,      0.2,      0.0,      2.2,    258.0,      0.0
C0Z100, 2024110410,   1014.7,     29.2,       67,      0.7,     85.0,      2.1,     66.0,      0.0
C0Z100, 2024110411,   1014.1,     29.5,       66,      1.5,     61.0,      4.1,    101.0,      0.0
C0Z100, 2024110412,   1013.5,     28.9,       70,      1.6,     77.0,      4.6,     83.0,      0.0
C0Z100, 2024110413,   1012.4,     28.1,       75,      1.8,     60.0,      5.8,    105.0,      0.0
C0Z100, 2024110414,   1012.1,     27.9,       78,      1.9,     55.0,      5.9,     87.0,      0.0
C0Z100, 2024110415,   1012.4,     25.7,       86,      1.7,     60.0,      6.0,     29.0,      0.0
